resource_url,http_status,content_type,live_bucket
https://olympiads.hbcse.tifr.res.in/wp-content/uploads/2023/02/INAO2023-Solution-20230215.pdf,200,application/pdf,200_pdf
https://olympiads.hbcse.tifr.res.in/olympiads/wp-content/uploads/2016/09/inmo-2003.pdf,200,application/pdf,200_pdf
https://olympiads.hbcse.tifr.res.in/about-olympiads/infosys-award-function/infosys-award-function-2022/,200,text/html; charset=utf-8,200_html
https://olympiads.hbcse.tifr.res.in/olympiads/wp-content/uploads/2016/09/inmo-2005.pdf,200,application/pdf,200_pdf
https://olympiads.hbcse.tifr.res.in/olympiads/wp-content/uploads/2016/09/inmo-2006.pdf,200,application/pdf,200_pdf
https://olympiads.hbcse.tifr.res.in/how-to-prepare/past-papers/#%20,200,text/html; charset=utf-8,200_html
https://olympiads.hbcse.tifr.res.in/key-for-prmo-2017/,200,text/html; charset=utf-8,200_html
https://olympiads.hbcse.tifr.res.in/olympiads/wp-content/uploads/2016/09/inmo-2007.pdf,200,application/pdf,200_pdf
https://olympiads.hbcse.tifr.res.in/wp-content/uploads/2022/12/INMO2010.pdf,200,application/pdf,200_pdf
https://olympiads.hbcse.tifr.res.in/olympiads/wp-content/uploads/2016/09/inmo-sol-2011.pdf,200,application/pdf,200_pdf
https://olympiads.hbcse.tifr.res.in/olympiads/wp-content/uploads/2016/09/inmo-2012.pdf,200,application/pdf,200_pdf
https://olympiads.hbcse.tifr.res.in/olympiads/wp-content/uploads/2016/09/inmo-2014.pdf,200,application/pdf,200_pdf
https://olympiads.hbcse.tifr.res.in/wp-content/uploads/2022/03/IOQA2022-PartII-Solutions-20220503.pdf,200,application/pdf,200_pdf
https://olympiads.hbcse.tifr.res.in/olympiads/wp-content/uploads/2017/09/INAO2018-Solution-20180213.pdf,200,application/pdf,200_pdf
https://olympiads.hbcse.tifr.res.in/wp-content/uploads/2020/04/inmo-20-QP-4_0.pdf,200,application/pdf,200_pdf
https://olympiads.hbcse.tifr.res.in/wp-content/uploads/2020/02/sol-inmo-20.pdf,200,application/pdf,200_pdf
https://olympiads.hbcse.tifr.res.in/olympiads/wp-content/uploads/2016/09/inaoSr2008-Q-S.pdf,200,application/pdf,200_pdf
https://olympiads.hbcse.tifr.res.in/wp-content/uploads/2021/03/IOQM-question-paper.pdf,200,application/pdf,200_pdf
https://olympiads.hbcse.tifr.res.in/wp-content/uploads/2021/03/IOQM2021Anskey.pdf,200,application/pdf,200_pdf
https://olympiads.hbcse.tifr.res.in/wp-content/uploads/2022/07/IOQM2021_partA_final.pdf,200,application/pdf,200_pdf
https://olympiads.hbcse.tifr.res.in/mathematical-olympiad-2026-2027/,200,text/html; charset=utf-8,200_html
https://olympiads.hbcse.tifr.res.in/olympiads/wp-content/uploads/2016/09/inao2016-Q-S.pdf,200,application/pdf,200_pdf
https://olympiads.hbcse.tifr.res.in/about-olympiads/infosys-award-function/infosys-award-function-2023/,200,text/html; charset=utf-8,200_html
https://olympiads.hbcse.tifr.res.in/information-brochures/,200,text/html; charset=utf-8,200_html
https://olympiads.hbcse.tifr.res.in/about-olympiads/infosys-award-function/infosys-award-function-2018/,200,text/html; charset=utf-8,200_html
https://olympiads.hbcse.tifr.res.in/olympiads/wp-content/uploads/2016/09/inaoSr2009-S.pdf,200,application/pdf,200_pdf
https://olympiads.hbcse.tifr.res.in/about-olympiads/infosys-award-function/infosys-award-function-2021/,200,text/html; charset=utf-8,200_html
https://olympiads.hbcse.tifr.res.in/olympiads/wp-content/uploads/2017/02/INBO2017-Solution-20170215.pdf,200,application/pdf,200_pdf
https://olympiads.hbcse.tifr.res.in/about-olympiads/infosys-award-function/infosys-award-function-2024/,200,text/html; charset=utf-8,200_html
https://olympiads.hbcse.tifr.res.in/about-olympiads/infosys-award-function/infosys-award-function-2017/,200,text/html; charset=utf-8,200_html
https://olympiads.hbcse.tifr.res.in/wp-content/uploads/2025/02/INAO-Solutions-20250221.pdf,200,application/pdf,200_pdf
https://olympiads.hbcse.tifr.res.in/wp-content/uploads/2024/02/INAO2024-Solution-20240220.pdf,200,application/pdf,200_pdf
https://olympiads.hbcse.tifr.res.in/about-olympiads/infosys-award-function/infosys-award-function-2025/,200,text/html; charset=utf-8,200_html
https://olympiads.hbcse.tifr.res.in/wp-content/uploads/2021/02/IOQA2021-PartII-Solutions-20210217.pdf,200,application/pdf,200_pdf
https://olympiads.hbcse.tifr.res.in/mathematical-olympiad-2025-2026/,200,text/html; charset=utf-8,200_html
https://olympiads.hbcse.tifr.res.in/wp-content/uploads/2020/02/INAO2020-Solutions-20200220.pdf,200,application/pdf,200_pdf
https://olympiads.hbcse.tifr.res.in/olympiads/wp-content/uploads/2018/05/INAO2019-Solution-20190219.pdf,200,application/pdf,200_pdf
https://olympiads.hbcse.tifr.res.in/olympiads/wp-content/uploads/2017/02/INAO2017-Solution-20170215.pdf,200,application/pdf,200_pdf
https://olympiads.hbcse.tifr.res.in/olympiads/wp-content/uploads/2016/09/inao2015-Q-S.pdf,200,application/pdf,200_pdf
https://olympiads.hbcse.tifr.res.in/olympiads/wp-content/uploads/2016/09/inao2014-Q-S.pdf,200,application/pdf,200_pdf
https://olympiads.hbcse.tifr.res.in/olympiads/wp-content/uploads/2016/08/Answerkey-INBO-2011.pdf,200,application/pdf,200_pdf
https://olympiads.hbcse.tifr.res.in/olympiads/wp-content/uploads/2016/09/inao2012-Q-S.pdf,200,application/pdf,200_pdf
https://olympiads.hbcse.tifr.res.in/olympiads/wp-content/uploads/2016/09/inao2011-Q-S.pdf,200,application/pdf,200_pdf
https://olympiads.hbcse.tifr.res.in/olympiads/wp-content/uploads/2016/09/inaoSr2010-S.pdf,200,application/pdf,200_pdf
